Unnamed: 0,Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,prediction
5,5.0,3.6,1.4,0.2,setosa
6,5.4,3.9,1.7,0.4,setosa
8,5.0,3.4,1.5,0.2,setosa
10,4.9,3.1,1.5,0.1,setosa
12,4.8,3.4,1.6,0.2,setosa
16,5.7,4.4,1.5,0.4,setosa
17,5.4,3.9,1.3,0.4,setosa
29,5.2,3.4,1.4,0.2,setosa
33,5.2,4.1,1.5,0.1,setosa
34,5.5,4.2,1.4,0.2,setosa
35,4.9,3.1,1.5,0.2,setosa
37,5.5,3.5,1.3,0.2,setosa
41,5.0,3.5,1.3,0.3,setosa
45,5.1,3.8,1.9,0.4,setosa
50,5.0,3.3,1.4,0.2,setosa
51,7.0,3.2,4.7,1.4,versicolor
55,6.5,2.8,4.6,1.5,versicolor
62,5.9,3.0,4.2,1.5,versicolor
63,6.0,2.2,4.0,1.0,versicolor
70,5.6,2.5,3.9,1.1,versicolor
71,5.9,3.2,4.8,1.8,versicolor
76,6.6,3.0,4.4,1.4,versicolor
78,6.7,3.0,5.0,1.7,versicolor
79,6.0,2.9,4.5,1.5,versicolor
83,5.8,2.7,3.9,1.2,versicolor
85,5.4,3.0,4.5,1.5,versicolor
90,5.5,2.5,4.0,1.3,versicolor
94,5.0,2.3,3.3,1.0,versicolor
96,5.7,3.0,4.2,1.2,versicolor
100,5.7,2.8,4.1,1.3,versicolor
102,5.8,2.7,5.1,1.9,virginica
113,6.8,3.0,5.5,2.1,virginica
114,5.7,2.5,5.0,2.0,virginica
120,6.0,2.2,5.0,1.5,virginica
121,6.9,3.2,5.7,2.3,virginica
123,7.7,2.8,6.7,2.0,virginica
124,6.3,2.7,4.9,1.8,virginica
125,6.7,3.3,5.7,2.1,virginica
128,6.1,3.0,4.9,1.8,virginica
133,6.4,2.8,5.6,2.2,virginica
139,6.0,3.0,4.8,1.8,virginica
142,6.9,3.1,5.1,2.3,virginica
147,6.3,2.5,5.0,1.9,virginica
148,6.5,3.0,5.2,2.0,virginica
149,6.2,3.4,5.4,2.3,virginica
